職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
【Java】Java 後端工程師,綠色遊戲有限公司,5人,後端工程師,"年薪700,000~1,800,000元",軟體工程系統開發、軟體程式設計,專科,台北市中山區,2年,"工作內容:
我們正在尋找技術精湛、充滿活力且富有創新精神的Java後端工程師，
您將負責開發高效能且可擴展的後端服務，使我們的系統服務能夠穩定擴充。

條件要求:
1. 具備良好的物件導向程式設計能力(OOP)。
2. 至少3年以上的Java開發經驗。
3. 熟悉 RESTful API 串接，開發高效能的後端服務，確保系統的穩定性與可擴展性。
4. 熟悉 Spring Boot 與使用 Spring Cloud 微服務架構系統。
5. 熟悉關聯式資料庫的資料表設計與 SQL 語法，例如 MySQL、PostgreSQL，並了解 NoSQL 資料庫的使用，例如 MongoDB。
6. 熟悉 git 版本控制工具，了解 CI/CD 流程。
7. 能與產品人員合作與溝通。

加分條件：
1. 微服務系統開發經驗。
2. 熟悉訊息佇列系統，例如 Kafka、RabbitMQ。
3. 熟悉 NoSQL 資料庫，例如 MongoDB 與 Cassandra。
4. 具備大數據開發經驗，例如 Hadoop、Spark。
5. 了解 Jenkins、GitLab CI/CD。
6. 了解 Docker 和 Kubernetes(aka. k8s)。"
軟體工程師_Java_101A,金財通商務科技服務股份有限公司,1~2人,軟體工程師,待遇面議,軟體程式設計、網路程式設計、資料庫程式設計,專科,台北市中山區,1年,"我們致力於銀行開放系統，舉凡你用過的就學貸款申請，個金服務或是網路銀行網站及手機應用程式可能都是我們為各大銀行所規劃的作品。
我們服務的行庫包含了臺灣銀行、土銀銀行、臺企銀、玉山銀行等各大銀行，專注於銀行領域系統的設計和開發，我們需要熱誠的工程師協同團隊合作，並將客戶需求及想法實現，成為穩固可靠的系統，推上網路供大家使用。

【資格條件】
1. 熟悉Spring(Spring MVC、Spring Boot)、JPA
2. 熟悉JavaScript、jQuery、Ajax
3. 工作態度積極、負責，願意主動學習並重視團隊合作
4. 1年以上程式開發實務經驗

【工作內容】
1.開發及維護金融業應用系統程式
2.在每個功能的開發週期，與團隊成員共同討論出最關鍵功能並思考如何實作
3.根據測試後所蒐集到的資訊與回饋，在後續的開發週期中調整修正
4.評估適合的技術工具及框架，協助改善產品開發流程及測試工作

【其他】
若有以下使用經驗更佳
1.使用過DB2資料庫
2.使用過Linux或AIX作業系統

【備註】
工作經驗___1__年以上：面議"
UI/UX系統介面設計師,河畔果管理顧問有限公司,1人,"UX設計師
、UI設計師
、前端工程師",待遇面議,使用者介面設計、使用者體驗設計、設計表現能力、視覺設計相關知識、各式封面設計、電腦繪圖軟體操作,大學,台北市信義區,不拘,"1. UI設計技能：擁有優秀的UI設計能力，包括設計視覺元素、圖標、配色、排版等，並具備創造有吸引力和易用性的用戶界面的能力。
2. UX設計技能：理解用戶體驗設計原則，包括用戶旅程設計、原型設計、用戶測試等，能夠設計符合用戶需求的產品界面。
3. 設計工具：熟練使用設計工具，如Sketch、Adobe XD、Figma等，能夠有效地進行設計工作和與團隊協作。
4. 前端開發基礎：了解基本的前端開發技術，如HTML、CSS、Java Script等，有助於設計師與開發團隊更好地合作。
5. 用戶研究：具備用戶研究的能力，能夠進行用戶訪談、調查、分析等，以確保設計方案符合用戶需求和期望。
6. 溝通能力：良好的溝通能力，能夠與產品經理、開發人員等不同角色有效溝通，理解需求並提供解決方案。
7. 創意思維：具備豐富的創意思維，能夠提出新穎且實用的設計概念，並能夠根據反饋進行迭代和改進。
8. 對新技術的敏感度：對新興技術和設計趨勢保持敏感，能夠及時了解和應用於設計工作中，保持產品的競爭力。
9. 團隊合作：具備團隊合作精神，能夠與其他設計師、開發人員和產品團隊合作，共同推動產品的發展和優化。
10. 專業精神：對設計工作具有高度的專業精神和責任感，能夠保證設計品質和交付時間。"
Mobile APP developer,澤碩科技股份有限公司,1人,"後端工程師
、iOS工程師
、軟體工程師",待遇面議,軟體程式設計,大學,台北市中山區,3年,"1.Develop and maintain mobile applications on iOS or Android platforms. 
2.Utilize Flutter for cross-platform development and optimization. 
3.Design and implement unit tests to ensure code quality. 
4.Promote TDD practices in development. 
5.Collaborate with backend teams to design and implement communication mechanisms. 
6.Work with HTTP, WebSocket, MQTT, and gRPC protocols. 
7.Implement Bluetooth functionality for stable device connectivity and data transmission. 
8.Participate in requirement discussions and technical decisions. 
9.Debug and troubleshoot issues to improve application stability and performance. 
10.Assist in diagnosing and resolving issues in online products. 
11.Stay updated with the latest technologies and optimize app performance continuously."
【資訊人員 - 網管儲備幹部】(券商經驗) 2025 擴大徵才,大展證券股份有限公司,1~2人,"系統工程師
、網路管理工程師
、資訊設備管制人員","月薪31,800~80,000元",不拘,專科,台北市大同區,不拘,"1.日常例行網路系統維運工作。
2.一般電腦系統使用問題協助排除。 
3.系統日常協助檢核。
4.公司系統專案。
5.其他主管交辦事項。"
統一超商資深前端工程師(技術四/五),統一超商股份有限公司,1人,"前端工程師
、軟體工程師","月薪50,000~120,000元",不拘,大學,台北市信義區,5年,"1.開發與維護B2B電商前後台畫面。
2.與PM / 設計討論與規劃畫面。
3.串接API。
4.整合第三方服務的畫面。
5.帶領其他工程師開發。"
Java Developer / Java 工程師,雷技資訊科技有限公司,1人,"軟體工程師
、Internet程式設計師","年薪600,000~800,000元",系統架構規劃、軟體程式設計、網路程式設計、資料庫程式設計、資料庫軟體應用,大學,台北市南港區,1年,"【工作內容】
- 負責專案/產品的開發、自測試及維護
- 參與需求分析討論
- 協助系統工程師處理後端站點的部署、維運及CI/CD
- 按照開發要求撰寫文件
- 協助客戶部署維護服務
- 行銷業務技術支援
- 主管交辦事項

【期待你能...】
▲ 擁有一年以上JAVA軟體開發經驗。
▲ 最近一年的工作主要開發語言皆使用 JAVA。
▲ 基本的 Linux 系統操作能力。
▲ 熟悉 Spring Boot, Mybatis 的使用。
▲ 熟悉 Git 版本控制工具 。
▲具備Clean Code能力。
▲ Web RestFul API 開發經驗。
▲ SQL Database 操作經驗。
▲ 良好的分析與解決問題能力，具有團隊合作精神，善於溝通。
▲ 英文讀寫能力(fluent)

【符合以下條件更加分】
◆ 擁有大型專案架構設計經驗。
◆ 擁有自動化測試開發經驗。
◆ 擁有 AWS 或其他雲端服務的使用經驗。
◆ 熟悉 Docker、Jenkins 等工具
◆ 口語對談能力(fluent)。"
軟韌體工程師,全球動力科技股份有限公司,1人,"韌體工程師
、軟體工程師","月薪48,000~55,000元",不拘,不拘,新北市蘆洲區,不拘,"1.設計、編寫和測試嵌入式系統的韌體程式碼，包含感測與制動訊號。
2.依照各種軟硬體或服務供應商提供的技術文件，撰寫、界接、測試商用現貨的軟硬體介面，並規範使用規則與流程。
3.系統分析和設計，使軟韌體能滿足系統需求。
4.與電路工程師溝通、討論並制定電子產品的規格。
5.使用版本控制系統（如Git）來管理程式碼，並與團隊其他成員協作開發。"
機械手自動化 工程師/專員,達詳自動化股份有限公司,1~4人,"自動控制工程師
、電機技師／工程師
、軟體工程師","月薪38,000~60,000元",不拘,大學,桃園市龜山區,不拘,"達詳自動化股份有限公司為美達工業集團旗下的子公司
公司網址及產品介紹 
http://www.dsa-auto.com.tw/

DSA是一群年輕活力、追求創新的團隊，主要提供鑄造產業 (砂模鑄造、精密鑄造、壓鑄)，與機械加工製程之自動化整合，並成立研發團隊投入AI智能系統等多項技術，跟隨工業4.0的腳步一同成長，邀請各方人才一起加入我們的團隊。

職務工作內容如下
1. 自動化設備整合
2. Robot程式撰寫、路徑規劃-採用ABB/KUKA/FANUC/UR等手臂
3. 相關文件撰寫
4. 設備裝機及調試"
【資訊科技】AI協作工程師 (前端APP),遠東國際商業銀行股份有限公司,1~2人,"iOS工程師
、全端工程師
、系統分析師",待遇面議,不拘,大學,新北市板橋區,5年,"召喚追求極致體驗的前端 APP 工程師：參與 AI 賦能大改版，打造指尖上的未來！

使用者體驗的戰場，就在方寸螢幕之間。我們相信，一個好的 APP 不僅是功能的集合，更是流暢互動、貼心設計與極致效能的結晶。你，準備好用程式碼雕琢出令人驚嘆的指尖體驗了嗎？
我們在尋找一位與眾不同的前端 APP 工程師。你不僅需要掌握平台技術，更重要的是，你擁有使用者導向的設計思維，能夠超越單純的功能實作，深入思考互動的流暢性、視覺的精確性以及效能的極限，打造出真正讓使用者喜愛並依賴的應用程式。

這份工作的獨特之處與挑戰：
• 參與核心產品的重大革新： 我們正準備進行 APP 的改版計畫！你將直接參與其中，共同將創新的 AI 應用元素無縫融入使用者介面，並運用 MCP (模型上下文協定) 整合、重塑核心功能與互動體驗。這不僅是技術挑戰，更是塑造產品未來樣貌的關鍵時刻。
• 站在使用者體驗第一線： 你的程式碼直接定義了使用者如何與我們的服務（包含未來的 AI 功能）互動。你是否對打造像素級精準 (Pixel Perfect) 的介面、流暢的轉場動畫、以及秒級回應速度充滿熱情？
• 從「可用」到「愛用」的昇華： 我們期待你不僅僅是串接 API、實現設計稿，更能主動提出優化建議，思考如何讓操作更直覺、體驗更順暢，追求卓越的使用者感受，特別是在整合新技術 (如 AI、MCP) 時。
• 學習與「行動」的證明： App 技術日新月異，加上 AI 與 MCP 的整合，更需要快速學習與適應。我們相信「做」是最好的學習，你需要用實際行動與成果，證明你對新技術的強烈好奇心與快速掌握、應用的能力。
• 打造有影響力的產品： 加入我們曾獲殊榮 (遠東集團綜效特優)、擁有技術專利的團隊，一起用創新技術打造 Bankee 金融科技新世界的前端門面。

我們期待的你，擁有這些特質：
• 主動探索者： 不用等 UI/UX 設計完成，你會主動研究平台新特性、思考最佳實踐，並能預見在新架構 (AI/MCP) 下的潛在問題與機會。
• 細節控與美感： 對 UI 細節、動效流暢度有高度要求，能精準實現設計，並具備良好的視覺美感。
• 責任感爆棚： 你視 App 的穩定性、效能與使用者反饋為己任，追求高品質的交付，尤其在重大改版期間。
• 正能量解題者： 相信凡事皆有解方，樂於面對平台碎片化、效能瓶頸以及整合新技術帶來的挑戰。
• 學習即呼吸，行動是證明： 對前端新知、工具、框架保持開放，並熱衷於動手實作，快速迭代。

準備好加入這場令人興奮的 App 轉型之旅了嗎？
如果用程式碼創造極致使用者體驗，特別是參與結合 AI 與 MCP 的大規模 App 改版讓你充滿成就感與熱情，請立即申請！在履歷中，除了技術能力，請特別分享你對於「打造高品質、高效能、使用者喜愛的 App（尤其是在整合新技術時）」的思考，並提供一個你「主動學習前端新技術並實際應用」的具體例子 (例如：作品集連結、Side Project 說明)。讓我們看到你不僅是一位開發者，更是一位對使用者體驗充滿熱情、勇於擁抱變革的創造者！"
